Id,session,"skills_development
","confidence_development
",teacher_rating,topic_relevance,resource_rating,overall_rating
average,1,8.4,8.8,NA,NA,NA,NA
average,2,8.2,7.5,8.6,8.65,8.1,8.2
average,3,9.125,9.083333333,9.666666667,9.5,9.625,9.791666667
